Department Code,Department Name,Program Code,Program Name,Fund Code,Fund Name,Source Fund Code,Source Fund Name,Budget Request Description,Budget Request Category,Budget Object Code,Audit Budget Object Name,One Time/ On-going,2021-22 (Proposed) Incremental change from 2020-21 Adopted Budget,2021-22 (Adopted) Incremental change from 2020-21 Adopted Budget
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,540,Proposition C Anti-Gridlock Transit Fund (Sch. 27),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,605,605
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,55J,Low and Moderate Income Housing Fund (Sch. 29),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-445,-445
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,55J,Low and Moderate Income Housing Fund (Sch. 29),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,37,37
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,55J,Low and Moderate Income Housing Fund (Sch. 29),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,4832,4832
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,55J,Low and Moderate Income Housing Fund (Sch. 29),Funding Realignment,10-Other Changes or Adjustments,001010,Salaries General,BB,-49747,-49747
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,55J,Low and Moderate Income Housing Fund (Sch. 29),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,1641,1641
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,561,HOME Investment Partnership Program Fund (Sch. 9),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-205,-205
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,561,HOME Investment Partnership Program Fund (Sch. 9),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,17,17
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,561,HOME Investment Partnership Program Fund (Sch. 9),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,2439,2439
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,561,HOME Investment Partnership Program Fund (Sch. 9),Funding Realignment,10-Other Changes or Adjustments,001010,Salaries General,BB,-22874,-22874
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,561,HOME Investment Partnership Program Fund (Sch. 9),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,58,58
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,760,Sewer Operations & Maintenance Fund (Sch. 14),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-1692,-1692
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,760,Sewer Operations & Maintenance Fund (Sch. 14),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,139,139
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,760,Sewer Operations & Maintenance Fund (Sch. 14),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,18744,18744
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,760,Sewer Operations & Maintenance Fund (Sch. 14),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,2345,2345
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,815,Municipal Housing Finance Fund (Sch. 48),Funding Realignment,10-Other Changes or Adjustments,001010,Salaries General,BB,42206,42206
10,City Administrative Officer,1002,Management Services,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-15915,-15915
10,City Administrative Officer,1002,Management Services,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,1375,1375
10,City Administrative Officer,1002,Management Services,100,General Fund,100,General Fund,Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-101660,-101660
10,City Administrative Officer,1002,Management Services,100,General Fund,100,General Fund,Federal Grant Monitoring and Reporting,4-Increased Services,001010,Salaries General,01,179229,179229
10,City Administrative Officer,1002,Management Services,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,254998,254998
10,City Administrative Officer,1002,Management Services,100,General Fund,100,General Fund,One-Time Salary Reduction,7-Efficiencies to Services,001010,Salaries General,01,-18247,-18247
10,City Administrative Officer,1002,Management Services,100,General Fund,100,General Fund,Proposition HHH Facilities Bond Program,3-Continuation of Services,001010,Salaries General,01,99643,99643
10,City Administrative Officer,1002,Management Services,100,General Fund,100,General Fund,Restoration of One-Time Expense Funding,5-Restoration of Services,003040,Contractual Services,BB,100000,100000
10,City Administrative Officer,1002,Management Services,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,13631,13631
10,City Administrative Officer,1002,Management Services,100,General Fund,105,Innovation Fund (Sch. 29),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-733,-733
10,City Administrative Officer,1002,Management Services,100,General Fund,105,Innovation Fund (Sch. 29),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,60,60
10,City Administrative Officer,1002,Management Services,100,General Fund,105,Innovation Fund (Sch. 29),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,8304,8304
10,City Administrative Officer,1002,Management Services,100,General Fund,105,Innovation Fund (Sch. 29),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,4287,4287
10,City Administrative Officer,1002,Management Services,100,General Fund,41M,Systematic Code Enforcement Fee Fund (Sch. 42),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-114,-114
10,City Administrative Officer,1002,Management Services,100,General Fund,41M,Systematic Code Enforcement Fee Fund (Sch. 42),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,9,9
10,City Administrative Officer,1002,Management Services,100,General Fund,41M,Systematic Code Enforcement Fee Fund (Sch. 42),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,1338,1338
10,City Administrative Officer,1002,Management Services,100,General Fund,41M,Systematic Code Enforcement Fee Fund (Sch. 42),Funding Realignment,10-Other Changes or Adjustments,001010,Salaries General,BB,-8044,-8044
10,City Administrative Officer,1002,Management Services,100,General Fund,41M,Systematic Code Enforcement Fee Fund (Sch. 42),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,263,263
10,City Administrative Officer,1002,Management Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),Funding Realignment,10-Other Changes or Adjustments,001010,Salaries General,BB,6613,6613
10,City Administrative Officer,1002,Management Services,100,General Fund,440,Rent Stabilization Trust Fund (Sch. 23),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-41,-41
10,City Administrative Officer,1002,Management Services,100,General Fund,440,Rent Stabilization Trust Fund (Sch. 23),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,3,3
10,City Administrative Officer,1002,Management Services,100,General Fund,440,Rent Stabilization Trust Fund (Sch. 23),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,489,489
10,City Administrative Officer,1002,Management Services,100,General Fund,440,Rent Stabilization Trust Fund (Sch. 23),Funding Realignment,10-Other Changes or Adjustments,001010,Salaries General,BB,372,372
10,City Administrative Officer,1002,Management Services,100,General Fund,440,Rent Stabilization Trust Fund (Sch. 23),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,96,96
10,City Administrative Officer,1002,Management Services,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-1237,-1237
10,City Administrative Officer,1002,Management Services,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,102,102
10,City Administrative Officer,1002,Management Services,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,13867,13867
10,City Administrative Officer,1002,Management Services,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,133,133
10,City Administrative Officer,1002,Management Services,100,General Fund,52D,Planning Case Processing Fund (Sch. 35),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-353,-353
10,City Administrative Officer,1002,Management Services,100,General Fund,52D,Planning Case Processing Fund (Sch. 35),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,29,29
10,City Administrative Officer,1002,Management Services,100,General Fund,52D,Planning Case Processing Fund (Sch. 35),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,4202,4202
10,City Administrative Officer,1002,Management Services,100,General Fund,52D,Planning Case Processing Fund (Sch. 35),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,135,135
10,City Administrative Officer,1002,Management Services,100,General Fund,561,HOME Investment Partnership Program Fund (Sch. 9),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-19,-19
10,City Administrative Officer,1002,Management Services,100,General Fund,561,HOME Investment Partnership Program Fund (Sch. 9),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,2,2
10,City Administrative Officer,1002,Management Services,100,General Fund,561,HOME Investment Partnership Program Fund (Sch. 9),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,219,219
10,City Administrative Officer,1002,Management Services,100,General Fund,561,HOME Investment Partnership Program Fund (Sch. 9),Funding Realignment,10-Other Changes or Adjustments,001010,Salaries General,BB,-2092,-2092
10,City Administrative Officer,1002,Management Services,100,General Fund,561,HOME Investment Partnership Program Fund (Sch. 9),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,43,43
10,City Administrative Officer,1002,Management Services,100,General Fund,815,Municipal Housing Finance Fund (Sch. 48),Funding Realignment,10-Other Changes or Adjustments,001010,Salaries General,BB,3151,3151
10,City Administrative Officer,1002,Management Services,100,General Fund,872,Disaster Assistance Trust Fund (Sch. 37),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-2356,-2356
10,City Administrative Officer,1002,Management Services,100,General Fund,872,Disaster Assistance Trust Fund (Sch. 37),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,194,194
10,City Administrative Officer,1002,Management Services,100,General Fund,872,Disaster Assistance Trust Fund (Sch. 37),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,27583,27583
10,City Administrative Officer,1002,Management Services,100,General Fund,872,Disaster Assistance Trust Fund (Sch. 37),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,5126,5126
10,City Administrative Officer,1003,Employee Relations Compensation and Benefits,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-13226,-13226
10,City Administrative Officer,1003,Employee Relations Compensation and Benefits,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,1204,1204
10,City Administrative Officer,1003,Employee Relations Compensation and Benefits,100,General Fund,100,General Fund,Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-344150,-344150
10,City Administrative Officer,1003,Employee Relations Compensation and Benefits,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,236303,236303
10,City Administrative Officer,1003,Employee Relations Compensation and Benefits,100,General Fund,100,General Fund,One-Time Salary Reduction,7-Efficiencies to Services,001010,Salaries General,01,-15109,-15109
10,City Administrative Officer,1003,Employee Relations Compensation and Benefits,100,General Fund,100,General Fund,Restoration of One-Time Expense Funding,5-Restoration of Services,003040,Contractual Services,BB,90000,90000
10,City Administrative Officer,1003,Employee Relations Compensation and Benefits,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,102440,102440
10,City Administrative Officer,1003,Employee Relations Compensation and Benefits,100,General Fund,100,General Fund,Strategic Workforce Analysis,3-Continuation of Services,001010,Salaries General,BB,182036,182036
10,City Administrative Officer,1004,Risk Management,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-10080,-10080
10,City Administrative Officer,1004,Risk Management,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,1403,1403
10,City Administrative Officer,1004,Risk Management,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,178124,178124
10,City Administrative Officer,1004,Risk Management,100,General Fund,100,General Fund,One-Time Salary Reduction,7-Efficiencies to Services,001010,Salaries General,01,-11081,-11081
10,City Administrative Officer,1004,Risk Management,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-73800,-73800
10,City Administrative Officer,1004,Risk Management,100,General Fund,100,General Fund,Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,BB,-166354,-166354
10,City Administrative Officer,1004,Risk Management,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,120803,120803
10,City Administrative Officer,1004,Risk Management,100,General Fund,761,Sewer Capital Fund (Sch. 14),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-3207,-3207
10,City Administrative Officer,1004,Risk Management,100,General Fund,761,Sewer Capital Fund (Sch. 14),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,449,449
10,City Administrative Officer,1004,Risk Management,100,General Fund,761,Sewer Capital Fund (Sch. 14),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,36184,36184
10,City Administrative Officer,1004,Risk Management,100,General Fund,761,Sewer Capital Fund (Sch. 14),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-21343,-21343
10,City Administrative Officer,1004,Risk Management,100,General Fund,761,Sewer Capital Fund (Sch. 14),Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,70000,70000
10,City Administrative Officer,1006,Debt Management,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-6222,-6222
10,City Administrative Officer,1006,Debt Management,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-940,-940
10,City Administrative Officer,1006,Debt Management,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,136578,136578
10,City Administrative Officer,1006,Debt Management,100,General Fund,100,General Fund,One-Time Salary Reduction,7-Efficiencies to Services,001010,Salaries General,01,-7156,-7156
10,City Administrative Officer,1006,Debt Management,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-9952,-9952
10,City Administrative Officer,1006,Debt Management,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,70000,70000
10,City Administrative Officer,1006,Debt Management,100,General Fund,429,Los Angeles Convention & Visitors Bureau Trust Fund (Sch. 1),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-435,-435
10,City Administrative Officer,1006,Debt Management,100,General Fund,429,Los Angeles Convention & Visitors Bureau Trust Fund (Sch. 1),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,1488,1488
10,City Administrative Officer,1006,Debt Management,100,General Fund,429,Los Angeles Convention & Visitors Bureau Trust Fund (Sch. 1),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,308,308
10,City Administrative Officer,1006,Debt Management,100,General Fund,429,Los Angeles Convention & Visitors Bureau Trust Fund (Sch. 1),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-1361,-1361
10,City Administrative Officer,1006,Debt Management,100,General Fund,760,Sewer Operations & Maintenance Fund (Sch. 14),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-1334,-1334
10,City Administrative Officer,1006,Debt Management,100,General Fund,760,Sewer Operations & Maintenance Fund (Sch. 14),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,110,110
10,City Administrative Officer,1006,Debt Management,100,General Fund,760,Sewer Operations & Maintenance Fund (Sch. 14),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,16780,16780
10,City Administrative Officer,1006,Debt Management,100,General Fund,760,Sewer Operations & Maintenance Fund (Sch. 14),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-18332,-18332
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-17106,-17106
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,1454,1454
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,100,General Fund,CRA/LA Bond Oversight Program,3-Continuation of Services,001010,Salaries General,01,32571,32571
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,259784,259784
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,100,General Fund,One-Time Salary Reduction,7-Efficiencies to Services,001010,Salaries General,01,-19635,-19635
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,100,General Fund,Restoration of One-Time Expense Funding,5-Restoration of Services,003040,Contractual Services,BB,100000,100000
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,1876,1876
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,57D,CRA Non-Housing Bond Proceeds Fund (Sch. 29),CRA/LA Bond Oversight Program,3-Continuation of Services,001010,Salaries General,01,97713,97713
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,57D,CRA Non-Housing Bond Proceeds Fund (Sch. 29),Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-125999,-125999
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,57D,CRA Non-Housing Bond Proceeds Fund (Sch. 29),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,12550,12550
10,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-7270,-7270
10,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,599,599
10,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,141534,141534
10,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,100,General Fund,One-Time Salary Reduction,7-Efficiencies to Services,001010,Salaries General,01,-8362,-8362
10,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,14371,14371
10,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,70000,70000
10,City Administrative Officer,1050,General Administration and Support,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-15851,-15851
10,City Administrative Officer,1050,General Administration and Support,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,1881,1881
10,City Administrative Officer,1050,General Administration and Support,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,237666,237666
10,City Administrative Officer,1050,General Administration and Support,100,General Fund,100,General Fund,Mobile Worker Program,9-Transfer of Services,006010,Office and Administrative ,BB,25603,25603
10,City Administrative Officer,1050,General Administration and Support,100,General Fund,100,General Fund,One-Time Salary Reduction,7-Efficiencies to Services,001010,Salaries General,01,-17716,-17716
10,City Administrative Officer,1050,General Administration and Support,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,14095,14095
10,City Administrative Officer,1050,General Administration and Support,100,General Fund,100,General Fund,Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,BB,-66452,-66452
11,Public Accountability,1101,Public Accountability and Ratepayer Advocate,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-13670,-13670
11,Public Accountability,1101,Public Accountability and Ratepayer Advocate,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,1179,1179
11,Public Accountability,1101,Public Accountability and Ratepayer Advocate,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,158429,158429
11,Public Accountability,1101,Public Accountability and Ratepayer Advocate,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,25473,25473
11,Public Accountability,1101,Public Accountability and Ratepayer Advocate,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,60361,60361
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-455637,-455637
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,41142,41142
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Bar Dues,3-Continuation of Services,002060,Bar Dues,BB,10223,10223
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Budget and Finance Committee Report Item No. 32,10-Other Changes or Adjustments,001010,Salaries General,01,,160492
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Budget and Finance Committee Report Item No. 33,10-Other Changes or Adjustments,001010,Salaries General,01,,630353
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Cannabis Enforcement and Regulation,3-Continuation of Services,001010,Salaries General,01,967405,967405
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Child Sexual Abuse Prosecutorial Support,3-Continuation of Services,001010,Salaries General,01,187646,187646
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Citywide Nuisance Abatement Program,3-Continuation of Services,001010,Salaries General,01,464047,464047
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Continuing Education Stipend,3-Continuation of Services,001010,Salaries General,01,157500,157500
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Continuing Education Stipend,3-Continuation of Services,006010,Office and Administrative ,01,63006,63006
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-2955364,-2955364
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Deletion of One-Time Expense Funding,2-Deletion of One-Time Services,006010,Office and Administrative ,BB,-46237,-46237
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Deletion of One-Time Salary Funding,2-Deletion of One-Time Services,001010,Salaries General,BB,-1241334,-1241334
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,7459874,7459874
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Mental Competency Caseload Support,3-Continuation of Services,001010,Salaries General,01,505175,505175
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Neighborhood Prosecutor Program Support,3-Continuation of Services,001010,Salaries General,01,829205,829205
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Program Realignment,10-Other Changes or Adjustments,003040,Contractual Services,BB,-26121,-26121
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-142051,-142051
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,BB,-892696,-892696
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Separation Incentive Program - Alternative Reduction,12-Separation Incentive Program,001010,Salaries General,01,-1997552,-1997552
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,1277141,1277141
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,550,City Attorney Consumer Protection Fund (Sch. 29),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-20133,-20133
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,550,City Attorney Consumer Protection Fund (Sch. 29),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,1673,1673
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,550,City Attorney Consumer Protection Fund (Sch. 29),Deletion of One-Time Salary Funding,2-Deletion of One-Time Services,001010,Salaries General,BB,-56583,-56583
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,550,City Attorney Consumer Protection Fund (Sch. 29),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,320614,320614
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,550,City Attorney Consumer Protection Fund (Sch. 29),Intellectual Property Crime Support,3-Continuation of Services,001010,Salaries General,01,107201,107201
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,550,City Attorney Consumer Protection Fund (Sch. 29),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-26307,-26307
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,550,City Attorney Consumer Protection Fund (Sch. 29),Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,BB,-187646,-187646
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,550,City Attorney Consumer Protection Fund (Sch. 29),Separation Incentive Program - Alternative Reduction,12-Separation Incentive Program,001010,Salaries General,01,983759,983759
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,550,City Attorney Consumer Protection Fund (Sch. 29),Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,70000,70000
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,55R,Code Compliance Fund (Sch. 53),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-5663,-5663
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,55R,Code Compliance Fund (Sch. 53),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,542,542
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,55R,Code Compliance Fund (Sch. 53),Deletion of One-Time Salary Funding,2-Deletion of One-Time Services,001010,Salaries General,BB,-6103,-6103
