Dept Code,Department Name,Org Level 5 Code,Org Level 5 Name,Prog Code,Program Name,PM Code,Performance Measure Name,Unit/Value,2017-18 Actuals,2018-19 Actuals,2019-20 Actuals,2020-21 Adopted Budget,2020-21 Estimates,2021-22 Adopted
94,Transportation,94LVL5,Transportation,9403,Transportation Infrastructure and Project Delivery,94VALUE,Total Value of Active Projects,,150981253,92341125,195153313,160000000,221603110,221603110
94,Transportation,94LVL5,Transportation,9404,"Parking Facilities, Meters, and Operations",94METERS,Percent of Time Parking Meters are Functioning Properly,,99.7,99.7,99.5,99.7,99.5,99.3
94,Transportation,94LVL5,Transportation,9406,Parking Citation Processing Services,94INITIALREVIEW,Initial Parking Citation Review Rate within 240-Days,percentage,100,99.8,100,100,100,100
94,Transportation,94LVL5,Transportation,9407,Streets and Sign Management,94SIGN,Number of Sign Maintenance & Installation Projects Completed,,11190,33500,16086,33500,16000,16000
94,Transportation,94LVL5,Transportation,9408,District Offices,94SERVICE,Number of Service Requests Closed,,17265,19835,20433,20000,10057,10000
94,Transportation,94LVL5,Transportation,9409,Traffic Signals and Systems,94SIGNAL,Percent of Signal Calls Responded to Within One Hour,,65,92,85,85,85,85
94,Transportation,94LVL5,Transportation,9412,Public Transit Services,94TRANSIT,Percent of LADOT Transit On-Time Arrivals ,,85,88,87,88,88,88
94,Transportation,94LVL5,Transportation,9413,Major Project Coordination,94METRO,Percent of Metro Plans Reviewed within 20 Business Days,,99,98,96,95,95,95
94,Transportation,94LVL5,Transportation,9414,Emergency Management and Special Events,94EVENTS,Number of Special Events Requiring Traffic Engineering,,6447,425,350,6500,300,400
94,Transportation,94LVL5,Transportation,9416,Active Transportation,94BIKELANE,Number of Miles of Bike Lanes and Paths in the City ,,899,942,1198,900,1223,1242
94,Transportation,94LVL5,Transportation,9417,Crossing Guard Services,94GUARDS,Number of Guards Assigned,,419,372,391,423,372,372
,,,,,,,,,,,220614487.8,187851257.7,241988407.1,245166495
,,,,,,,,,,,,,,
